Example,Page,Class,Function,Source File
">>> r = requests.get('https://api.github.com/user', auth=('user', 'pass'))
>>> r.status_code
200
>>> r.headers['content-type']
'application/json; charset=utf8'
>>> r.encoding
'utf-8'
>>> r.text
'{""type"":""User""...'
>>> r.json()
{'private_gists': 419, 'total_private_repos': 77, ...}
",https://docs.python-requests.org/en/latest/,N/A,get,requests/requests/api.py
">>> r = requests.get('https://api.github.com/user', auth=('user', 'pass'))
>>> r.status_code
200
>>> r.headers['content-type']
'application/json; charset=utf8'
>>> r.encoding
'utf-8'
>>> r.text
'{""type"":""User""...'
>>> r.json()
{'private_gists': 419, 'total_private_repos': 77, ...}
",https://docs.python-requests.org/en/latest/,Response,json,requests/requests/models.py
"$ curl -OL https://github.com/psf/requests/tarball/main
# optionally, zipball is also available (for Windows users).
",https://docs.python-requests.org/en/latest/user/install/,N/A,N/A,N/A
r.json(),https://docs.python-requests.org/en/latest/user/quickstart/,Response,json,requests/requests/models.py
r.raise_for_status(),https://docs.python-requests.org/en/latest/user/quickstart/,Response,raise_for_status,requests/requests/models.py
Response.raise_for_status(),https://docs.python-requests.org/en/latest/user/quickstart/,Response,raise_for_status,requests/requests/models.py
raise_for_status(),https://docs.python-requests.org/en/latest/user/quickstart/,Response,raise_for_status,requests/requests/models.py
Response.raise_for_status(),https://docs.python-requests.org/en/latest/user/quickstart/,Response,raise_for_status,requests/requests/models.py
">>> r = requests.get('https://api.github.com/events')
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,get,requests/requests/api.py
">>> r = requests.post('https://httpbin.org/post', data={'key': 'value'})
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,post,requests/requests/api.py
">>> r = requests.put('https://httpbin.org/put', data={'key': 'value'})
>>> r = requests.delete('https://httpbin.org/delete')
>>> r = requests.head('https://httpbin.org/get')
>>> r = requests.options('https://httpbin.org/get')
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,put,requests/requests/api.py
">>> r = requests.put('https://httpbin.org/put', data={'key': 'value'})
>>> r = requests.delete('https://httpbin.org/delete')
>>> r = requests.head('https://httpbin.org/get')
>>> r = requests.options('https://httpbin.org/get')
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,delete,requests/requests/api.py
">>> r = requests.put('https://httpbin.org/put', data={'key': 'value'})
>>> r = requests.delete('https://httpbin.org/delete')
>>> r = requests.head('https://httpbin.org/get')
>>> r = requests.options('https://httpbin.org/get')
",https://docs.python-requests.org/en/latest/user/quickstart/,N/A,head,requests/requests/api.py
