id,has_api,HAS_API,DISCUSSES_API,,
11071901,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/11071901
19057837,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/19057837
19373296,TRUE,TRUE,TRUE,,https://stackoverflow.com/questions/19373296
24002485,TRUE,TRUE,FALSE,,https://stackoverflow.com/questions/24002485
25072167,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/25072167
27203429,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/27203429
29416355,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/29416355
32830867,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/32830867
33901232,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/33901232
34535591,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/34535591
35690892,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/35690892
36516697,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/36516697
37101114,TRUE,TRUE,TRUE,,https://stackoverflow.com/questions/37101114
38681698,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/38681698
39144991,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/39144991
39241709,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/39241709
42394335,TRUE,TRUE,FALSE,,https://stackoverflow.com/questions/42394335
43193018,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/43193018
50828262,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/50828262
