id,has_api,HAS_API,DISCUSSES_API,,
24002485,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/24002485
39241709,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/39241709
19057837,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/19057837
50828262,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/50828262
11071901,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/11071901
19373296,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/19373296
42394335,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/42394335
25072167,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/25072167
39144991,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/39144991
32830867,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/32830867
43193018,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/43193018
29416355,TRUE,FALSE,FALSE,,https://stackoverflow.com/questions/29416355
36516697,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/36516697
33901232,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/33901232
34535591,TRUE,FALSE,FALSE,,https://stackoverflow.com/questions/34535591
38681698,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/38681698
27203429,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/27203429
35690892,FALSE,FALSE,FALSE,,https://stackoverflow.com/questions/35690892
